of_id,article_ref,article_family,diameter_mm,material,color,quantity,machine_id,machine_type,actual_start_ts,actual_end_ts,downtime_min,status,record_created_ts
OF-2024-03248,ART-A06,Assemblage,21.3,Acier,Noir,15,MCH-06,MANUAL,2024-05-16 15:22:29,2024-05-16 15:41:09,0.0,done,2024-05-16 15:44:52
OF-2024-03249,ART-U20,Usinage,23.4,Titane,Rouge,20,MCH-01,CNC_FAST,2024-01-02 10:03:13,2024-01-02 10:36:42,0.0,done,2024-01-02 10:39:30
OF-2024-03250,art-u08,Usinage,22.6,Inox,Noir,76,MCH-04,CNC_STD,2024-04-17 10:23:13,2024-04-17 11:42:05,21.6,done,2024-04-17 11:46:49
OF-2024-03251,ARTU16,Usinage,144.1,Aluminium,Noir,239,MCH-01,CNC_FAST,2024-01-14 10:12:03,2024-01-14 17:13:22,0.0,done,2024-01-14 17:14:46
OF-2024-03252,ART-A06,Assemblage,21.3,Acier,Noir,35,MCH-08,MANUAL,2024-01-01 18:49:20,2024-01-01 19:33:33,0.0,done,2024-01-01 19:38:03
OF-2024-03253,ART-A26,Assemblage,183.1,Inox,Rouge,75,MCH-11,ROBOT_CELL,2024-05-11 21:25:16,2024-05-11 23:15:51,0.0,done,2024-05-11 23:20:00
OF-2024-03254,ART-S25,Soudure,151.9,Acier,Bleu,27,MCH-07,MANUAL,17/06/2024 21:09,18/06/2024 00:52,0.0,done,18/06/2024 00:53
OF-2024-03255,ARTU32,Usinage,131.7,Aluminium,Gris,13,MCH-04,CNC_STD,2024-07-02 07:49:29,2024-07-02 08:34:09,5.0,done,2024-07-02 08:34:45
OF-2024-03256,ART-S29,Soudure,90.9,Aluminium,Vert,38,MCH-11,ROBOT_CELL,2024-04-28 09:16:56,2024-04-28 11:05:57,28.5,done,2024-04-28 11:08:49
OF-2024-03257,ART-F27,Finition,162.2,Titane,Rouge,62,MCH-02,CNC_FAST,2024-06-10 11:40:11,2024-06-10 12:52:26,0.0,done,2024-06-10 12:54:24
OF-2024-03258,ART-U28,Usinage,115.2,Aluminium,Bleu,48,MCH-01,CNC_FAST,2024-08-23 07:19:06,2024-08-23 08:16:21,0.0,done,2024-08-23 08:17:30
OF-2024-03259,ART-U32,Usinage,131.7,Aluminium,Gris,9,MCH-03,CNC_STD,2024-01-18 12:05:22,,0.0,aborted,2024-01-18 12:48:07
OF-2024-03260,ART-U28,Usinage,115.2,Aluminium,Bleu,56,MCH-02,CNC_FAST,2024-03-29 15:47:42,,0.0,running,2024-03-29 16:48:51
OF-2024-03261,ART-U28,Usinage,115.2,Aluminium,Bleu,266,MCH-02,CNC_FAST,2024-05-21 14:24:01,2024-05-21 18:43:39,0.0,done,2024-05-21 18:44:42
OF-2024-03262,ART-F15,Finition,196.8,Titane,Jaune,312,MCH-07,MANUAL,21/04/2024 14:15,22/04/2024 02:59,0.0,done,22/04/2024 02:59
OF-2024-03263,ART-U32,Usinage,131.7,Aluminium,Gris,47,MCH-02,CNC_FAST,2024-04-16 16:05:29,2024-04-16 17:06:27,14.0,done,2024-04-16 17:10:05
OF-2024-03264,ART-S05,Soudure,38.9,Acier,Vert,64,MCH-11,ROBOT_CELL,2024-08-17 08:48:12,2024-08-17 10:48:38,0.0,done,2024-08-17 10:53:03
OF-2024-03265,ART-A02,Assemblage,36.9,Aluminium,Vert,31,MCH-11,ROBOT_CELL,2024-01-31 13:36:11,2024-01-31 14:03:27,8.4,done,2024-01-31 14:08:04
OF-2024-03266,ART-S25,Soudure,151.9,Acier,Bleu,115,MCH-10,ROBOT_CELL,2024-02-21 07:56:02,2024-02-21 16:04:43,0.0,done,2024-02-21 16:09:31
OF-2024-03267,ART-S13,Soudure,74.7,Acier,Jaune,153,MCH-09,ROBOT_CELL,2024-04-27 10:40:23,2024-04-27 16:58:42,0.0,done,2024-04-27 17:01:53
OF-2024-03268,ART-A02,Assemblage,36.9,Aluminium,Vert,51,MCH-06,MANUAL,2024-06-26 17:28:12,,3.1,running,2024-06-26 18:32:41
OF-2024-03269,ART-S05,Soudure,38.9,Acier,Vert,43,MCH-11,ROBOT_CELL,2024-02-13 19:19:37,2024-02-13 20:32:42,0.0,done,2024-02-13 20:34:20
OF-2024-03270,ART-A22,Assemblage,105.9,Aluminium,Noir,245,MCH-05,CNC_STD,2024-04-05 08:53:40,2024-04-05 12:05:36,0.0,done,2024-04-05 12:08:46
OF-2024-03271,ART-U28,Usinage,115.2,Aluminium,Bleu,77,MCH-02,CNC_FAST,2024-06-07 07:33:52,2024-06-07 09:06:52,0.0,done,2024-06-07 09:09:24
OF-2024-03272,ART-F15,Finition,196.8,Titane,Jaune,20,MCH-06,MANUAL,2024-04-28 21:25:17,2024-04-28 22:27:43,11.9,done,2024-04-28 22:30:44
OF-2024-03273,ART-U16,Usinage,144.1,Aluminium,Noir,31,MCH-03,CNC_STD,2024-06-22 15:50:18,2024-06-22 16:54:42,0.0,done,2024-06-22 16:57:47
OF-2024-03274,ART-F15,Finition,196.8,Titane,Jaune,65,MCH-08,MANUAL,2024-05-29 07:17:29,2024-05-29 10:05:16,0.0,done,2024-05-29 10:09:17
OF-2024-03275,ART-A26,Assemblage,183.1,Inox,Rouge,159,MCH-11,ROBOT_CELL,2024-02-10 20:57:59,2024-02-11 01:41:04,0.0,done,2024-02-11 01:45:09
OF-2024-03276,ART-F19,Finition,100.8,Aluminium,Gris,229,MCH-08,MANUAL,2024-03-16 15:00:48,2024-03-16 17:42:02,0.0,done,2024-03-16 17:43:56
OF-2024-03277,ART-S21,Soudure,45.5,Inox,Vert,385,MCH-09,ROBOT_CELL,2024-02-23 11:37:19,2024-02-24 01:46:32,84.2,done,2024-02-24 01:50:37
OF-2024-03278,ART-A06,Assemblage,21.3,Acier,Noir,53,MCH-10,ROBOT_CELL,2024-05-03 11:42:57,2024-05-03 12:07:16,5.9,done,2024-05-03 12:09:36
OF-2024-03279,ART-F19-MM,Finition,100.8,Aluminium,Gris,55,MCH-08,MANUAL,2024-07-28 11:04:27,2024-07-28 12:01:20,0.0,done,2024-07-28 12:03:02
OF-2024-03280,ART-F15,Finition,196.8,Titane,Jaune,5,MCH-01,CNC_FAST,2024-01-18 07:23:34,,5.6,aborted,2024-01-18 07:48:54
OF-2024-03281,ART-U04,Usinage,186.4,Inox,Rouge,36,MCH-05,CNC_STD,2024-05-04 06:08:11,2024-05-04 09:18:27,37.1,done,2024-05-04 09:22:45
OF-2024-03282,ART-S21,Soudure,45.5,Inox,Vert,212,MCH-08,MANUAL,2024-03-10 20:22:50,2024-03-11 09:20:36,127.0,done,2024-03-11 09:23:24
OF-2024-03283,ART-A26,Assemblage,183.1,Inox,Rouge,30,MCH-05,CNC_STD,2024-01-27 16:36:09,2024-01-27 17:49:59,24.9,done,2024-01-27 17:52:43
OF-2024-03284,ART-F31,Finition,25.3,Inox,Gris,345,MCH-07,MANUAL,28/04/2024 17:43,28/04/2024 21:32,0.0,done,28/04/2024 21:36
OF-2024-03285,ART-U24,Usinage,173.0,Aluminium,Vert,54,MCH-02,CNC_FAST,2024-06-07 15:06:17,2024-06-07 16:16:04,0.0,done,2024-06-07 16:16:59
OF-2024-03286,ART-U16,Usinage,144.1,Aluminium,Noir,45,MCH-05,CNC_STD,2024-07-21 17:35:43,2024-07-21 19:03:23,0.0,done,2024-07-21 19:04:46
OF-2024-03287,ART-S25,Soudure,151.9,Acier,Bleu,79,MCH-08,MANUAL,2024-02-16 10:10:30,2024-02-16 19:00:19,0.0,done,2024-02-16 19:03:14
OF-2024-03288,ARTF19,Finition,100.8,Aluminium,Gris,232,MCH-07,MANUAL,29/06/2024 12:08,29/06/2024 15:28,0.0,done,29/06/2024 15:32
OF-2024-03289,ART-S25,Soudure,151.9,Acier,Bleu,122,MCH-11,ROBOT_CELL,2024-03-04 17:53:20,2024-03-05 01:17:17,0.0,done,2024-03-05 01:21:47
OF-2024-03290,ART-U32,Usinage,131.7,Aluminium,Gris,125,MCH-05,CNC_STD,2024-05-19 06:21:12,2024-05-19 09:52:53,0.0,done,2024-05-19 09:53:50
OF-2024-03291,ART-U04,Usinage,186.4,Inox,Rouge,32,MCH-04,CNC_STD,2024-01-17 16:03:35,2024-01-17 18:49:36,12.3,done,2024-01-17 18:52:55
OF-2024-03292,ART-U04,Usinage,186.4,Inox,Rouge,14,MCH-04,CNC_STD,2024-07-04 13:02:09,2024-07-04 14:20:50,22.1,done,2024-07-04 14:22:38
OF-2024-03293,ART-F27,Finition,162.2,Titane,Rouge,324,MCH-01,CNC_FAST,2024-07-09 10:50:16,2024-07-09 16:15:04,0.0,done,2024-07-09 16:17:40
OF-2024-03294,ART-S25,Soudure,151.9,Acier,Bleu,279,MCH-11,ROBOT_CELL,2024-08-12 16:29:04,2024-08-13 10:39:01,291.2,done,2024-08-13 10:41:48
OF-2024-03295,ART-S25,Soudure,151.9,Acier,Bleu,60,MCH-08,MANUAL,2024-04-19 12:31:56,2024-04-19 18:45:20,0.0,done,2024-04-19 18:48:05
OF-2024-03296,ART-S13,Soudure,74.7,Acier,Jaune,38,MCH-10,ROBOT_CELL,2024-03-04 14:17:37,2024-03-04 15:54:52,32.7,done,2024-03-04 15:56:52
OF-2024-03297,ART-S25,Soudure,151.9,Acier,Bleu,36,MCH-08,MANUAL,2024-03-30 10:44:39,2024-03-30 15:32:40,81.5,done,2024-03-30 15:36:49
OF-2024-03298,ART-S13,Soudure,74.7,Acier,Jaune,275,MCH-11,ROBOT_CELL,2024-03-15 17:55:23,2024-03-16 04:57:48,0.0,done,2024-03-16 05:02:44
OF-2024-03299,ART-S13,Soudure,74.7,Acier,Jaune,71,MCH-11,ROBOT_CELL,2024-07-05 19:41:20,2024-07-05 22:54:52,0.0,done,2024-07-05 22:55:59
OF-2024-03300,ART-A26,Assemblage,183.1,Inox,Rouge,45,MCH-06,MANUAL,2024-01-02 18:18:25,2024-01-02 21:43:35,0.0,done,2024-01-02 21:48:21
OF-2024-03301,ART-S21,Soudure,45.5,Inox,Vert,76,MCH-09,ROBOT_CELL,2024-08-13 13:57:16,2024-08-13 17:13:06,0.0,done,2024-08-13 17:15:44
OF-2024-03302,ART-U16,Usinage,144.1,Aluminium,Noir,42,MCH-02,CNC_FAST,2024-02-21 12:17:01,,0.0,running,2024-02-21 13:21:38
OF-2024-03303,ART-U16,Usinage,144.1,Aluminium,Noir,19,MCH-01,CNC_FAST,2024-03-09 11:07:05,2024-03-09 11:46:54,0.0,done,2024-03-09 11:51:35
OF-2024-03304,ART-A18,Assemblage,15.6,Inox,Rouge,39,MCH-08,MANUAL,2024-03-29 09:22:34,2024-03-29 09:59:55,0.0,done,2024-03-29 10:03:06
OF-2024-03305,ART-A06-MM,Assemblage,21.3,Acier,Noir,53,MCH-12,ROBOT_CELL,2024-08-07 13:35:46,2024-08-07 14:04:47,3.9,done,2024-08-07 14:08:04
OF-2024-03306,ART-A02,Assemblage,36.9,Aluminium,Vert,36,MCH-09,ROBOT_CELL,2024-05-21 18:28:15,2024-05-21 18:52:02,0.0,done,2024-05-21 18:53:44
OF-2024-03307,art-f07,Finition,147.0,Acier,Gris,11,MCH-02,CNC_FAST,2024-01-10 19:46:27,2024-01-10 20:03:44,2.7,done,2024-01-10 20:08:02
OF-2024-03308,ART-U12,Usinage,23.0,Titane,Noir,77,MCH-02,CNC_FAST,2024-05-10 11:43:37,2024-05-10 11:33:37,0.0,done,2024-05-10 13:00:44
OF-2024-03309,ART-S29,Soudure,90.9,Aluminium,Vert,76,MCH-09,ROBOT_CELL,2024-03-04 16:47:20,2024-03-04 20:09:10,0.0,done,2024-03-04 20:09:55
OF-2024-03310,ART-U28,Usinage,115.2,Aluminium,Bleu,317,MCH-02,CNC_FAST,2024-06-24 07:19:16,2024-06-24 12:13:36,0.0,done,2024-06-24 12:15:27
OF-2024-03311,art-s05,Soudure,38.9,Acier,Vert,12,MCH-12,ROBOT_CELL,2024-05-23 12:53:44,2024-05-23 13:28:19,0.0,done,2024-05-23 13:28:57
OF-2024-03312,ART-F23,Finition,23.0,Acier,Gris,22,MCH-01,CNC_FAST,2024-04-20 15:12:33,2024-04-20 15:22:25,0.0,done,2024-04-20 15:27:22
OF-2024-03313,ART-S21,Soudure,45.5,Inox,Vert,34,MCH-08,MANUAL,2024-04-21 15:25:59,2024-04-21 17:53:58,0.0,done,2024-04-21 17:58:49
OF-2024-03314,ART-U08,Usinage,22.6,Inox,Noir,70,MCH-02,CNC_FAST,2024-02-20 12:41:22,2024-02-20 13:47:05,0.0,done,2024-02-20 13:50:47
OF-2024-03315,ART-S29,Soudure,90.9,Aluminium,Vert,37,MCH-06,MANUAL,2024-06-14 19:20:42,2024-06-14 22:22:10,63.4,done,2024-06-14 22:23:44
OF-2024-03316,ART-U32,Usinage,131.7,Aluminium,Gris,45,MCH-03,CNC_STD,2024-03-09 12:14:05,2024-03-09 13:46:42,0.0,done,2024-03-09 13:48:55
OF-2024-03317,ART-A22,Assemblage,105.9,Aluminium,Noir,45,MCH-06,MANUAL,2024-07-07 15:18:49,2024-07-07 16:27:54,0.0,done,2024-07-07 16:32:34
OF-2024-03318,ART-U32,Usinage,131.7,Aluminium,Gris,66,MCH-04,CNC_STD,2024-03-18 16:05:10,2024-03-18 18:14:45,0.0,done,2024-03-18 18:15:26
OF-2024-03319,ART-F15,Finition,196.8,Titane,Jaune,208,MCH-06,MANUAL,2024-05-22 06:04:59,2024-05-22 15:14:10,0.0,done,2024-05-22 15:14:49
OF-2024-03320,ART-F15,Finition,196.8,Titane,Jaune,251,MCH-06,MANUAL,2024-01-18 16:32:25,2024-01-19 03:49:20,0.0,done,2024-01-19 03:51:22
OF-2024-03321,  ART-U08 ,Usinage,22.6,Inox,Noir,5,MCH-01,CNC_FAST,2024-08-09 11:57:18,2024-08-09 12:11:53,0.0,done,2024-08-09 12:16:01
OF-2024-03322,ART-F27,Finition,162.2,Titane,Rouge,350,MCH-07,MANUAL,09/08/2024 18:25,10/08/2024 06:41,0.0,done,10/08/2024 06:44
OF-2024-03323,ART-F11,Finition,147.9,Acier,Gris,127,MCH-02,CNC_FAST,2024-03-07 21:48:05,2024-03-07 23:16:37,0.0,done,2024-03-07 23:18:35
OF-2024-03324,ART-U32,Usinage,131.7,Aluminium,Gris,75,MCH-02,CNC_FAST,2024-08-16 10:23:55,,0.0,aborted,2024-08-16 12:38:24
OF-2024-03325,ART-A02,Assemblage,36.9,Aluminium,Vert,72,MCH-08,MANUAL,2024-01-30 07:56:32,2024-01-30 09:21:49,0.0,done,2024-01-30 09:23:00
OF-2024-03326,ART-U12,Usinage,23.0,Titane,Noir,61,MCH-05,CNC_STD,2024-08-08 14:40:59,2024-08-08 16:02:06,0.0,done,2024-08-08 16:06:20
OF-2024-03327,  ART-U20 ,Usinage,23.4,Titane,Rouge,52,MCH-05,CNC_STD,2024-04-15 13:46:06,2024-04-15 15:06:14,0.0,done,2024-04-15 15:09:42
OF-2024-03328,ART-A26,Assemblage,183.1,Inox,Rouge,289,MCH-06,MANUAL,2024-08-11 12:54:53,2024-08-12 04:54:06,0.0,done,2024-08-12 04:56:02
OF-2024-03329,ART-F11,Finition,147.9,Acier,Gris,12,MCH-01,CNC_FAST,2024-02-08 20:24:35,2024-02-08 20:40:04,3.4,done,2024-02-08 20:41:33
OF-2024-03330,ART-U24,Usinage,173.0,Aluminium,Vert,6,MCH-03,CNC_STD,2024-06-25 21:39:53,2024-06-25 22:12:21,0.0,done,2024-06-25 22:16:33
OF-2024-03331,ART-F27,Finition,162.2,Titane,Rouge,20,MCH-02,CNC_FAST,2024-02-22 09:09:51,2024-02-22 09:37:50,0.0,done,2024-02-22 09:39:31
OF-2024-03332,ART-S25,Soudure,151.9,Acier,Bleu,72,MCH-10,ROBOT_CELL,2024-07-05 17:04:39,,34.3,running,2024-07-05 22:31:32
OF-2024-03333,ART-U24,Usinage,173.0,Aluminium,Vert,50,MCH-05,CNC_STD,2024-04-04 19:25:27,2024-04-04 20:57:36,0.0,done,2024-04-04 21:00:32
OF-2024-03334,ARTU12,Usinage,23.0,Titane,Noir,226,MCH-01,CNC_FAST,2024-05-29 09:20:22,2024-05-29 11:55:48,0.0,done,2024-05-29 11:58:52
OF-2024-03335,ART-U32,Usinage,131.7,Aluminium,Gris,264,MCH-01,CNC_FAST,2024-04-18 06:08:17,2024-04-18 12:11:01,116.7,done,2024-04-18 12:11:38
OF-2024-03336,ART-U08,Usinage,22.6,Inox,Noir,76,MCH-02,CNC_FAST,2024-03-19 12:05:56,2024-03-19 13:04:24,0.0,done,2024-03-19 13:07:20
OF-2024-03337,ART-A22,Assemblage,105.9,Aluminium,Noir,39,MCH-08,MANUAL,2024-04-21 11:05:53,2024-04-21 12:05:36,0.0,done,2024-04-21 12:09:56
OF-2024-03338,ART-F11,Finition,147.9,Acier,Gris,22,MCH-06,MANUAL,2024-02-10 16:06:39,2024-02-10 16:51:42,4.3,done,2024-02-10 16:52:43
OF-2024-03339,ART-U28,Usinage,115.2,Aluminium,Bleu,6,MCH-01,CNC_FAST,2024-01-01 18:28:16,,0.0,aborted,2024-01-01 18:50:41
OF-2024-03340,ART-F27,Finition,162.2,Titane,Rouge,26,MCH-01,CNC_FAST,2024-02-02 10:00:28,2024-02-02 10:33:39,0.0,done,2024-02-02 10:36:36
OF-2024-03341,ART-S13,Soudure,74.7,Acier,Jaune,72,MCH-07,MANUAL,12/02/2024 07:15,12/02/2024 13:07,0.0,done,12/02/2024 13:08
OF-2024-03342,ART-U08,Usinage,22.6,Inox,Noir,67,MCH-02,CNC_FAST,2024-03-15 15:25:29,2024-03-15 16:15:39,4.0,done,2024-03-15 16:16:37
OF-2024-03343,ART-S13,Soudure,74.7,Acier,Jaune,76,MCH-06,MANUAL,2024-08-05 07:02:37,2024-08-05 14:49:12,0.0,done,2024-08-05 14:53:19
OF-2024-03344,ART-U04,Usinage,186.4,Inox,Rouge,18,MCH-01,CNC_FAST,2024-01-31 07:13:12,2024-01-31 08:24:25,0.0,done,2024-01-31 08:26:36
OF-2024-03345,ART-A10,Assemblage,48.9,Aluminium,Jaune,34,MCH-08,MANUAL,2024-04-14 20:58:42,2024-04-14 21:45:42,0.0,done,2024-04-14 21:46:38
OF-2024-03346,ART-A06,Assemblage,21.3,Acier,Noir,69,MCH-11,ROBOT_CELL,2024-07-04 11:22:26,2024-07-04 11:59:21,0.0,done,2024-07-04 12:00:33
OF-2024-03347,ART-F31,Finition,25.3,Inox,Gris,135,MCH-07,MANUAL,16/04/2024 17:56,16/04/2024 19:23,0.0,done,16/04/2024 19:23
OF-2024-03348,ART-S29,Soudure,90.9,Aluminium,Vert,45,MCH-06,MANUAL,2024-03-15 08:52:04,2024-03-15 12:27:24,0.0,done,2024-03-15 12:31:41
OF-2024-03349,ART-U20,Usinage,23.4,Titane,Rouge,185,MCH-03,CNC_STD,2024-04-02 07:58:06,2024-04-02 13:29:53,96.6,done,2024-04-02 13:31:42
OF-2024-03350,ART-U20,Usinage,23.4,Titane,Rouge,17,MCH-02,CNC_FAST,2024-01-18 07:38:48,2024-01-18 08:14:19,10.9,done,2024-01-18 08:15:36
OF-2024-03351,ART-F15,Finition,196.8,Titane,Jaune,49,MCH-01,CNC_FAST,2024-05-29 09:44:32,2024-05-29 11:06:37,0.0,done,2024-05-29 11:08:54
OF-2024-03352,  ART-U08 ,Usinage,22.6,Inox,Noir,107,MCH-02,CNC_FAST,2024-05-10 11:48:44,2024-05-10 13:11:38,17.2,done,2024-05-10 13:14:53
OF-2024-03353,ART-A06,Assemblage,21.3,Acier,Noir,53,MCH-09,ROBOT_CELL,2024-03-22 11:22:26,2024-03-22 11:53:07,4.7,done,2024-03-22 11:56:29
OF-2024-03354,ART-U28,Usinage,115.2,Aluminium,Bleu,281,MCH-01,CNC_FAST,2024-07-04 08:26:31,2024-07-04 13:25:54,0.0,done,2024-07-04 13:27:16
OF-2024-03355,ART-A06,Assemblage,21.3,Acier,Noir,390,MCH-06,MANUAL,2024-06-08 18:46:28,2024-06-09 00:09:13,0.0,done,2024-06-09 00:11:42
OF-2024-03356,ART-A26,Assemblage,183.1,Inox,Rouge,43,MCH-07,MANUAL,29/06/2024 09:31,29/06/2024 12:11,0.0,done,29/06/2024 12:12
OF-2024-03357,ART-U28,Usinage,115.2,Aluminium,Bleu,266,MCH-05,CNC_STD,2024-03-02 16:55:55,2024-03-02 23:31:29,98.3,done,2024-03-02 23:35:22
OF-2024-03358,ART-U28,Usinage,115.2,Aluminium,Bleu,72,MCH-04,CNC_STD,2024-04-19 21:56:43,2024-04-19 23:53:01,0.0,done,2024-04-19 23:55:48
OF-2024-03359,ART-S05,Soudure,38.9,Acier,Vert,138,MCH-07,MANUAL,18/05/2024 18:22,19/05/2024 00:39,0.0,done,19/05/2024 00:39
OF-2024-03360,ART-S09,Soudure,11.4,Acier,Jaune,141,MCH-07,MANUAL,22/05/2024 07:01,22/05/2024 11:21,0.0,done,22/05/2024 11:24
OF-2024-03361,ART-S13,Soudure,74.7,Acier,Jaune,242,MCH-07,MANUAL,27/01/2024 16:20,28/01/2024 13:27,148.5,done,28/01/2024 13:28
OF-2024-03362,ART-U28,Usinage,115.2,Aluminium,Bleu,43,MCH-04,CNC_STD,2024-06-29 09:29:35,2024-06-29 10:56:20,20.2,done,2024-06-29 11:00:04
OF-2024-03363,ART-S05-MM,Soudure,38.9,Acier,Vert,122,MCH-07,MANUAL,25/08/2024 20:33,26/08/2024 01:49,57.9,done,26/08/2024 01:50
OF-2024-03364,ART-S13,Soudure,74.7,Acier,Jaune,6,MCH-09,ROBOT_CELL,2024-08-09 13:43:38,2024-08-09 14:31:45,0.0,done,2024-08-09 14:34:58
OF-2024-03365,ART-U00,Usinage,184.0,Inox,Jaune,50,MCH-02,CNC_FAST,2024-01-04 19:42:12,2024-01-04 21:53:02,0.0,done,2024-01-04 21:57:11
OF-2024-03366,ART-S25,Soudure,151.9,Acier,Bleu,6,MCH-11,ROBOT_CELL,2024-04-20 19:51:29,2024-04-20 20:44:55,0.0,done,2024-04-20 20:47:14
OF-2024-03367,ART-A30,Assemblage,130.4,Acier,Gris,57,MCH-08,MANUAL,2024-05-08 10:53:09,,40.2,aborted,2024-05-08 13:22:00
OF-2024-03368,ART-U20,Usinage,23.4,Titane,Rouge,385,MCH-05,CNC_STD,2024-02-21 10:09:12,2024-02-21 19:56:39,122.7,done,2024-02-21 19:59:59
OF-2024-03369,ART-S33,Soudure,195.1,Inox,Gris,26,MCH-10,ROBOT_CELL,2024-03-27 13:14:30,2024-03-27 15:43:10,23.7,done,2024-03-27 15:45:28
OF-2024-03370,ART-A26,Assemblage,183.1,Inox,Rouge,343,MCH-08,MANUAL,2024-02-13 08:22:00,2024-02-13 21:30:37,0.0,done,2024-02-13 21:33:45
OF-2024-03371,ART-F15,Finition,196.8,Titane,Jaune,278,MCH-06,MANUAL,2024-08-10 11:55:50,2024-08-10 23:24:32,83.9,done,2024-08-10 23:28:43
OF-2024-03372,ART-S29,Soudure,90.9,Aluminium,Vert,27,MCH-10,ROBOT_CELL,2024-02-21 09:24:38,2024-02-21 11:08:35,0.0,done,2024-02-21 11:10:34
OF-2024-03373,ART-A02,Assemblage,36.9,Aluminium,Vert,356,MCH-06,MANUAL,2024-01-16 12:11:41,2024-01-16 16:06:31,0.0,done,2024-01-16 16:09:32
OF-2024-03374,ART-S33,Soudure,195.1,Inox,Gris,56,MCH-06,MANUAL,2024-06-27 11:59:58,2024-06-27 21:14:43,29.0,done,2024-06-27 21:16:17
OF-2024-03375,ART-F15,Finition,196.8,Titane,Jaune,80,MCH-06,MANUAL,2024-05-04 12:58:42,2024-05-04 16:45:44,0.0,done,2024-05-04 16:47:17
OF-2024-03376,ART-A26,Assemblage,183.1,Inox,Rouge,8,MCH-10,ROBOT_CELL,2024-05-18 21:47:21,2024-05-18 22:07:57,4.8,done,2024-05-18 22:11:29
OF-2024-03377,ART-U32,Usinage,131.7,Aluminium,Gris,16,MCH-02,CNC_FAST,2024-03-03 19:46:40,2024-03-03 20:22:14,0.0,done,2024-03-03 20:24:15
OF-2024-03378,ART-U08-MM,Usinage,22.6,Inox,Noir,310,MCH-04,CNC_STD,2024-05-21 10:24:59,2024-05-21 16:29:15,0.0,done,2024-05-21 16:30:40
OF-2024-03379,ART-F15,Finition,196.8,Titane,Jaune,311,MCH-01,CNC_FAST,2024-06-27 10:53:50,2024-06-27 17:30:15,31.2,done,2024-06-27 17:32:24
OF-2024-03380,ART-S13,Soudure,74.7,Acier,Jaune,37,MCH-11,ROBOT_CELL,2024-02-23 17:12:45,2024-02-23 19:39:20,7.7,done,2024-02-23 19:41:38
OF-2024-03381,ART-F27,Finition,162.2,Titane,Rouge,52,MCH-01,CNC_FAST,2024-08-06 09:07:39,2024-08-06 10:15:27,15.1,done,2024-08-06 10:18:54
OF-2024-03382,ART-U20,Usinage,23.4,Titane,Rouge,30,MCH-02,CNC_FAST,2024-08-24 09:11:17,2024-08-24 09:52:42,0.0,done,2024-08-24 09:55:21
OF-2024-03383,ART-A26,Assemblage,183.1,Inox,Rouge,43,MCH-04,CNC_STD,2024-08-31 20:45:16,2024-08-31 22:24:02,26.7,done,2024-08-31 22:25:25
OF-2024-03384,ART-S13,Soudure,74.7,Acier,Jaune,60,MCH-07,MANUAL,29/08/2024 21:01,30/08/2024 02:57,0.0,done,30/08/2024 02:58
OF-2024-03385,ART-A14,Assemblage,190.7,Acier,Noir,56,MCH-12,ROBOT_CELL,2024-06-15 12:46:10,,0.0,aborted,2024-06-15 14:06:30
OF-2024-03386,ART-A02,Assemblage,36.9,Aluminium,Vert,74,MCH-08,MANUAL,2024-07-08 12:39:56,2024-07-08 13:48:35,23.8,done,2024-07-08 13:51:29
OF-2024-03387,ART-F15,Finition,196.8,Titane,Jaune,121,MCH-02,CNC_FAST,2024-04-21 17:22:53,2024-04-21 19:52:29,0.0,done,2024-04-21 19:54:57
OF-2024-03388,ART-U04,Usinage,186.4,Inox,Rouge,57,MCH-02,CNC_FAST,2024-02-15 20:33:23,2024-02-16 00:07:28,0.0,done,2024-02-16 00:12:13
OF-2024-03389,ART-U20,Usinage,23.4,Titane,Rouge,235,MCH-02,CNC_FAST,2024-05-23 07:43:40,2024-05-23 12:18:04,0.0,done,2024-05-23 12:19:11
OF-2024-03390,ARTF07,Finition,147.0,Acier,Gris,62,MCH-06,MANUAL,2024-01-07 07:38:06,2024-01-07 09:14:04,0.0,done,2024-01-07 09:18:22
OF-2024-03391,ART-F15,Finition,196.8,Titane,Jaune,249,MCH-08,MANUAL,2024-02-04 10:39:21,2024-02-04 19:13:57,0.0,done,2024-02-04 19:16:38
OF-2024-03392,ART-A06,Assemblage,21.3,Acier,Noir,39,MCH-08,MANUAL,2024-02-10 12:32:24,2024-02-10 13:14:32,0.0,done,2024-02-10 13:16:40
OF-2024-03393,ART-S29,Soudure,90.9,Aluminium,Vert,350,MCH-10,ROBOT_CELL,2024-01-04 16:57:15,2024-01-05 07:26:04,0.0,done,2024-01-05 07:29:10
OF-2024-03394,ART-A02,Assemblage,36.9,Aluminium,Vert,42,MCH-03,CNC_STD,2024-08-07 07:27:57,2024-08-07 08:03:36,0.0,done,2024-08-07 08:04:59
OF-2024-03395,ART-U28,Usinage,115.2,Aluminium,Bleu,50,MCH-02,CNC_FAST,2024-08-31 07:08:50,2024-08-31 08:09:57,0.0,done,2024-08-31 08:10:51
OF-2024-03396,ART-A22,Assemblage,105.9,Aluminium,Noir,136,MCH-08,MANUAL,2024-08-09 17:22:23,2024-08-09 20:53:41,0.0,done,2024-08-09 20:56:46
OF-2024-03397,ART-S29,Soudure,90.9,Aluminium,Vert,33,MCH-12,ROBOT_CELL,2024-07-13 07:57:42,2024-07-13 09:32:37,0.0,done,2024-07-13 09:34:52
